nome_prodotto,marca,descrizione,url_immagine
Disco diamantato PRO Concrete Per smerigliatrici angolari grandi con dado di serraggio,Bosch,"Lunga durata nel taglio del calcestruzzo
Segmenti a basso attrito progettati per ridurre al minimo l'usura sui lati
Con foro da 22,3 mm per smerigliatrici angolari con attacco standard",https://www.bosch-professional.com/it/it/ocsmedia/478113-82/product-image/720x410/disco-diamantato-pro-concrete-3088612.png
Disco diamantato PRO Concrete Per piccole smerigliatrici angolari,Bosch,"Lunga durata nel taglio del calcestruzzo
Segmenti a basso attrito progettati per ridurre al minimo l'usura sui lati
Con foro da 22,3 mm per smerigliatrici angolari con attacco standard",https://www.bosch-professional.com/it/it/ocsmedia/478109-82/product-image/720x410/disco-diamantato-pro-concrete-3089216.png
"Disco diamantato PRO Concrete Per seghe da banco, Per mototroncatrici a scoppio",Bosch,"Lunga durata nel taglio del calcestruzzo
Segmenti a basso attrito progettati per ridurre al minimo l'usura sui lati
Con foro da 25,4 mm, si adatta a fori da 20 mm con anelli di riduzione",https://www.bosch-professional.com/it/it/ocsmedia/478118-82/product-image/720x410/disco-diamantato-pro-concrete-3088613.png
Disco diamantato PRO Stone Per smerigliatrici angolari grandi con dado di serraggio,Bosch,"Lunga durata nel taglio della pietra
Segmenti a basso attrito progettati per ridurre al minimo l'usura sui lati
Con foro da 22,3 mm per smerigliatrici angolari con attacco standard",https://www.bosch-professional.com/it/it/ocsmedia/478103-82/product-image/720x410/disco-diamantato-pro-stone-3088616.png
"Disco diamantato PRO Stone Per seghe da banco, Per mototroncatrici a scoppio",Bosch,"Lunga durata nel taglio della pietra
Segmenti a basso attrito progettati per ridurre al minimo l'usura sui lati
Con foro da 25,4 mm, si adatta a fori da 20 mm con anelli di riduzione",https://www.bosch-professional.com/it/it/ocsmedia/478108-82/product-image/720x410/disco-diamantato-pro-stone-3088617.png
Mola a tazza diamantata Best for Concrete Per levigatrici per calcestruzzo,Bosch,,https://www.bosch-professional.com/it/it/ocsmedia/199215-82/product-image/720x410/mola-a-tazza-diamantata-best-for-concrete-2608201228.png
Mola a tazza diamantata Standard for Concrete Per levigatrici per calcestruzzo,Bosch,"Lavoro privo di vibrazioni grazie all'effetto di controbilanciatura dinamica
Test ingegneristici condotti in Svizzera garantiscono gli standard elevati di Bosch
Con foro di 22,23 mm per levigatrice per calcestruzzo e smerigliatrici angolari con dado di bloccaggio",https://www.bosch-professional.com/it/it/ocsmedia/247218-82/product-image/720x410/mola-a-tazza-diamantata-standard-for-concrete-2608601575.png
Corona diamantata a secco Standard for Universal Per trapani carotatori,Bosch,"I segmenti sono saldati al laser per assicurare la durata
Per punte diamantate filettate da 1/2""",https://www.bosch-professional.com/it/it/ocsmedia/183601-82/product-image/720x410/corona-diamantata-a-secco-standard-for-universal-2868197.png
Set corone diamantate a secco Standard for Universal Per trapani carotatori,Bosch,"I segmenti sono saldati al laser per assicurare la durata
Per punte diamantate filettate da 1/2""",https://www.bosch-professional.com/it/it/ocsmedia/190382-82/product-image/720x410/set-di-corone-a-secco-da-5-pezzi-g-1-2-38-127-mm-2608587007.png
"Adattatore 5/8""-16 UNF per corona Per trapani carotatori",Bosch,"Destinato all'uso con filettature M16
Con filetto 16 UNF da 5/8"" e filetto M16",https://www.bosch-professional.com/it/it/ocsmedia/183655-82/product-image/720x410/adattatore-5-8-16unf-m-16-2600116081.png
Punta di centraggio a croce Per trapani carotatori,Bosch,"Idonea per pietra calcarea, mattoni e laterizi
Per corone diamantate a secco 1 1/4"" UNC
Con filetto UNC da 1 1/4"" per punte diamantate",https://www.bosch-professional.com/it/it/ocsmedia/183929-82/product-image/720x410/punta-di-centraggio-a-croce-2867429.png
Punta di centraggio Per trapani carotatori,Bosch,"Idonea per applicazioni su materiali da costruzione come pietra calcarea, mattoni e laterizi
Per uso con diverse carotatrici",https://www.bosch-professional.com/it/it/ocsmedia/178447-82/product-image/720x410/punta-di-centraggio-2867737.png
Adattatore per corone diamantate Per trapani carotatori,Bosch,Per selezionare l'adattatore giusto occorre prestare particolare attenzione alle informazioni sul supporto di macchina e corona.,https://www.bosch-professional.com/it/it/ocsmedia/207012-82/product-image/720x410/adattatore-per-corone-diamantate-2867910.png
Anello di raccolta acqua Per trapani carotatori,Bosch,"Previene contaminazione e danni provocati dall'acqua durante l'utilizzo con un estrattore multifunzione
Disponibile in due versioni: una per il trapano a colonna S 500 e una per il trapano a colonna Professional S 500 A",https://www.bosch-professional.com/it/it/ocsmedia/221723-82/product-image/720x410/anello-di-raccolta-acqua-2868501.png
Disco diamantato Best for Universal Turbo Per piccole smerigliatrici angolari,Bosch,"La matrice con diamanti ottimizzata produce i tagli più veloci
Forma dei segmenti studiata per tagli universali con finitura praticamente perfetta in tutti i taglienti visibili
Con foro da 22,3 mm per smerigliatrici angolari con attacco standard",https://www.bosch-professional.com/it/it/ocsmedia/161276-82/product-image/720x410/disco-diamantato-best-for-universal-turbo-2608602671.png
Copertura guarnizione Per trapani carotatori,Bosch,Idoneo per l'uso con gli anelli di raccolta acqua,https://www.bosch-professional.com/it/it/ocsmedia/221727-82/product-image/720x410/coperchio-a-tenuta-ermetica-da-132-mm-2608550624.png
"Disco diamantato Best for Universal Turbo Per seghe da banco, Per mototroncatrici a scoppio",Bosch,"La matrice con diamanti ottimizzata produce i tagli più veloci
Forma dei segmenti studiata per tagli universali con finitura praticamente perfetta in tutti i taglienti visibili
Con foro da 25,4 mm, si adatta a fori da 20 mm con anelli di riduzione",https://www.bosch-professional.com/it/it/ocsmedia/161360-82/product-image/720x410/disco-diamantato-best-for-universal-turbo-2868405.png
Set per vuoto per GCR 180/350 Per trapani carotatori,Bosch,"Consente un montaggio facile e veloce dei supporti su superfici pulite e regolari
Supporta applicazioni di foratura al diamante a umido e a secco",https://www.bosch-professional.com/it/it/ocsmedia/221725-82/product-image/720x410/set-per-vuoto-per-grc-180-350-2608550623.png
Set per vuoto da 1 pz. Per trapani carotatori,Bosch,"Imbocco di aspirazione con guarnizione in gomma, valvola a sfera a tre vie per sfiato disco, guarnizione per la base
Idoneo per sistemi di foratura al diamante Bosch Professional S 500 e S 500 A",https://www.bosch-professional.com/it/it/ocsmedia/183939-82/product-image/720x410/set-per-vuoto-da-1-pz-2609390314.png
Anello di tenuta in gomma Per trapani carotatori,Bosch,Per foratura al diamante a umido e a secco,https://www.bosch-professional.com/it/it/ocsmedia/221713-82/product-image/720x410/anello-di-tenuta-in-gomma-2867826.png
"Punta di centraggio Auto Start per seghe a tazza diamantate Per trapani/avvitatori rotanti, Per trapani a percussione/avvitatori a impulsi",Bosch,"Pratica il foro di centraggio nelle piastrelle e guida la sega a tazza diamantata senza ausili di centraggio esterni.
Perno di centraggio a molla con punta al carburo di tungsteno per l'avvio della foratura in materiali duri
Da utilizzare con il mandrino senza chiave Bosch Power Change Plus: offre precisione e robustezza",https://www.bosch-professional.com/it/it/ocsmedia/173936-82/product-image/720x410/punta-di-centraggio-auto-start-per-seghe-a-tazza-diamantate-2608580529.png
Recipiente a pressione per acqua Per trapani carotatori,Bosch,"Recipiente con capacità di 10 litri
Realizzato in acciaio con speciale rivestimento in plastica.",https://www.bosch-professional.com/it/it/ocsmedia/183938-82/product-image/720x410/contenitore-d-acqua-a-pressione-2609390308.png
Punta di centraggio per corone diamantate Per martelli perforatori,Bosch,"Effettua un'accurata preforatura con corone diamantate di diametri diversi
Si adatta con tutti i martelli perforatori con attacco SDS plus",https://www.bosch-professional.com/it/it/ocsmedia/173935-82/product-image/720x410/punta-di-centraggio-con-codolo-esagonale-2608550079.png
Piastra adattatrice per corone diamantate da 350 mm Per trapani carotatori,Bosch,"Il distanziale extra consente un'estensione da 300 a 350 mm
Maggiore stabilità e meno vibrazioni grazie all'eliminazione del distanziale per foratura inferiore a 300 mm",https://www.bosch-professional.com/it/it/ocsmedia/221716-82/product-image/720x410/piastra-adattatrice-per-corone-a-forare-da-350-mm-extender-2608550628.png
Disco diamantato Standard for Universal Turbo Per piccole smerigliatrici angolari,Bosch,"La matrice con diamanti è studiata per il taglio di vari materiali da costruzione e produce spigoli ben conformati
Con foro da 22,3 mm per smerigliatrici angolari con attacco standard",https://www.bosch-professional.com/it/it/ocsmedia/179343-82/product-image/720x410/disco-diamantato-standard-for-universal-turbo-2868410.png
"Disco diamantato Standard for Universal Turbo Per seghe da banco, Per mototroncatrici a scoppio",Bosch,"La matrice con diamanti è studiata per il taglio di vari materiali da costruzione e produce spigoli ben conformati
Con foro da 25,4 mm, si adatta a fori da 20 mm con anelli di riduzione",https://www.bosch-professional.com/it/it/ocsmedia/161337-82/product-image/720x410/disco-diamantato-standard-for-universal-turbo-2868425.png
