nome,marca,descrizione,immagine,link
Frattazzo acciaio inox,San Marco,"Frattazzo con lama in acciaio inox per pitture decorative ad effetto spatolato, 200 x 70-75 mm",https://egress.storeden.net/jpg/678e263ce39ee15a19a68e5c,/product/32546431/frattazzo-acciaio-inox
Rullo a pelo lungo,San Marco,"Rullo a pelo lungo di 30 mm con manico in acciaio e impugnatura anatomica in plastica, 230 mm",https://egress.storeden.net/jpg/678e2639e39ee1191ba68c30,/product/32546430/rullo-a-pelo-lungo
Rullino a pelo corto,San Marco,"Mini rullo a pelo corto di 5 mm con manico in acciaio e impugnatura anatomica in plastica, 100 mm",https://egress.storeden.net/jpg/678e2640e39ee1151aa68cf3,/product/32546433/rullino-a-pelo-corto
Spatola acciaio inox,San Marco,"Spatola in acciaio per stucco e prodotti decorativi, 105 x 75 mm",https://egress.storeden.net/jpg/678e2642e39ee1851aa68cab,/product/32546434/spatola-acciaio-inox
Kit Attrezzi per Pittura,San Marco,"Set di strumenti essenziali per pitturare in modo pulito e preciso. include rullo a pelo corto con manico in acciaio, pennello, vaschetta, telo protettivo e nastri per mascheratura. ideale per ristrutturazioni e lavori di imbiancatura fai-da-te e professionali.",https://egress.storeden.net/jpg/67e68896e39ee1fe0f619b23,/product/34490848/kit-attrezzi-per-pittura
Pennello per smalti e impregnanti a solvente,San Marco,"Plafoncino professionale: pennello per smalti e impregnanti a solvente, 30 x 70 mm",https://egress.storeden.net/jpg/67b34f65e39ee1dd23882c20,/product/32546436/pennello-per-smalti-e-impregnanti-a-solvente
Pennello per smalti e impregnanti ad acqua e solvente,San Marco,"Plafoncino professionale: pennello per smalti e impregnanti ad acqua e solvente, 30 x 70 mm",https://egress.storeden.net/jpg/67b34e79be7ea01692a61559,/product/32546435/pennello-per-smalti-e-impregnanti-ad-acqua-e-solvente
Pennello spalter,San Marco,"Pennello spalter professionale per pittura sabbiata, 100 x 90 mm",https://egress.storeden.net/jpg/678e2637e39ee16c1aa68d7a,/product/32546429/pennello-spalter
COLOR CHIP,San Marco,Campioni colori su supporto cartaceo per pareti,https://egress.storeden.net/jpg/678e2664be7ea05f23e245b1,/product/29022540/color-chip
Cartella INTERNI A COLORI e mazzetta COLOR TRENDS,San Marco,Spedizione gratuita,https://egress.storeden.net/jpg/6762e993202628aa682ace7a,/product/26975330/cartella-interni-a-colori-e-mazzetta-color-trends
Mazzetta Paeninsula,San Marco,Spedizione gratuita - due mazzette paeninsula,https://egress.storeden.net/jpg/66549b7a202628b149865328,/product/22318010/mazzetta-paeninsula
Cartella Colori Paeninsula,San Marco,Spedizione gratuita,https://egress.storeden.net/jpg/6064cfda00f220e719a85b5e,/product/22318020/cartella-colori-paeninsula
Cartella Colori Cadoro,San Marco,Spedizione gratuita,https://egress.storeden.net/jpg/6064d1a85fb8e04256c6953b,/product/22318025/cartella-colori-cadoro
Cartella Colori Cadoro Velvet,San Marco,Spedizione gratuita,https://egress.storeden.net/jpg/6064d2c75fb8e0a75dc69540,/product/22318028/cartella-colori-cadoro-velvet
Cartella Colori Fontego,San Marco,Spedizione gratuita,https://egress.storeden.net/jpg/6064d4e000f2205e39a85b6c,/product/22318044/cartella-colori-fontego
Cartella Colori Sagredo,San Marco,Spedizione gratuita,https://egress.storeden.net/jpg/6064d4b05fb8e07a68c6953c,/product/22318039/cartella-colori-sagredo
Cartella Colori Marcopolo,San Marco,Spedizione gratuita,https://egress.storeden.net/jpg/6064d548be7ea0cdd9ac5c86,/product/22318047/cartella-colori-marcopolo
Cartella Colori Marcopolo Luxury,San Marco,Spedizione gratuita,https://egress.storeden.net/jpg/6064d5cd00f220d841a85b5d,/product/22318049/cartella-colori-marcopolo-luxury
